router,comando,output
PE1,show version,"Cisco IOS Software [Dublin], Linux Software (X86_64BI_LINUX-ADVENTERPRISEK9-M), Version 17.12.1, RELEASE SOFTWARE (fc5) | Technical Support: http://www.cisco.com/techsupport | Copyright (c) 1986-2023 by Cisco Systems, Inc. | Compiled Thu 27-Jul-23 22:33 by mcpre |  | ROM: Bootstrap program is Linux "
PE1,show ip ospf neighbor, | Neighbor ID     Pri   State           Dead Time   Address         Interface | 172.16.1.3        1   FULL/DR         00:00:33    10.0.0.10       Ethernet0/3 | 172.16.1.4        1   FULL/DR         00:00:35    10.0.0.6        Ethernet0/2 | 172.16.1.5        1   FULL/DR         00:00:30    10.0.0.2 
PE1,show bgp vpnv4 unicast all summary,"BGP router identifier 172.16.1.1, local AS number 100 | BGP table version is 28, main routing table version 28 | 4 network entries using 1056 bytes of memory | 6 path entries using 816 bytes of memory | 2/2 BGP path/bestpath attribute entries using 624 bytes of memory | 2 BGP rrinfo entries using 80"
PE1,show mpls ldp neighbor,"    Peer LDP Ident: 172.16.1.5:0; Local LDP Ident 172.16.1.1:0 | 	TCP connection: 172.16.1.5.45669 - 172.16.1.1.646 | 	State: Oper; Msgs sent/rcvd: 80/79; Downstream | 	Up time: 00:53:46 | 	LDP discovery sources: | 	  Ethernet0/1, Src IP addr: 10.0.0.2 |         Addresses bound to peer LDP Ident: | "
PE2,show version,"Cisco IOS Software [Dublin], Linux Software (X86_64BI_LINUX-ADVENTERPRISEK9-M), Version 17.12.1, RELEASE SOFTWARE (fc5) | Technical Support: http://www.cisco.com/techsupport | Copyright (c) 1986-2023 by Cisco Systems, Inc. | Compiled Thu 27-Jul-23 22:33 by mcpre |  | ROM: Bootstrap program is Linux "
PE2,show ip ospf neighbor, | Neighbor ID     Pri   State           Dead Time   Address         Interface | 172.16.1.6        1   FULL/DR         00:00:35    10.0.0.37       Ethernet0/3 | 172.16.1.3        1   FULL/DR         00:00:39    10.0.0.33       Ethernet0/2 | 172.16.1.4        1   FULL/DR         00:00:39    10.0.0.29
PE2,show bgp vpnv4 unicast all summary,"BGP router identifier 172.16.1.2, local AS number 100 | BGP table version is 32, main routing table version 32 | 4 network entries using 1056 bytes of memory | 6 path entries using 816 bytes of memory | 2/2 BGP path/bestpath attribute entries using 624 bytes of memory | 2 BGP rrinfo entries using 80"
PE2,show mpls ldp neighbor,"    Peer LDP Ident: 172.16.1.3:0; Local LDP Ident 172.16.1.2:0 | 	TCP connection: 172.16.1.3.51921 - 172.16.1.2.646 | 	State: Oper; Msgs sent/rcvd: 80/80; Downstream | 	Up time: 00:53:43 | 	LDP discovery sources: | 	  Ethernet0/2, Src IP addr: 10.0.0.33 |         Addresses bound to peer LDP Ident: |"
P1,show version,"Cisco IOS Software [Dublin], Linux Software (X86_64BI_LINUX-ADVENTERPRISEK9-M), Version 17.12.1, RELEASE SOFTWARE (fc5) | Technical Support: http://www.cisco.com/techsupport | Copyright (c) 1986-2023 by Cisco Systems, Inc. | Compiled Thu 27-Jul-23 22:33 by mcpre |  | ROM: Bootstrap program is Linux "
P1,show ip ospf neighbor, | Neighbor ID     Pri   State           Dead Time   Address         Interface | 172.16.1.2        1   FULL/BDR        00:00:39    10.0.0.30       Ethernet1/1 | 172.16.1.6        1   FULL/DR         00:00:36    10.0.0.26       Ethernet1/0 | 172.16.1.3        1   FULL/BDR        00:00:37    10.0.0.22
P1,show bgp vpnv4 unicast all summary,% BGP not active | 
P1,show mpls ldp neighbor,"    Peer LDP Ident: 172.16.1.5:0; Local LDP Ident 172.16.1.4:0 | 	TCP connection: 172.16.1.5.31259 - 172.16.1.4.646 | 	State: Oper; Msgs sent/rcvd: 80/80; Downstream | 	Up time: 00:53:47 | 	LDP discovery sources: | 	  Ethernet0/2, Src IP addr: 10.0.0.17 |         Addresses bound to peer LDP Ident: |"
P2,show version,"Cisco IOS Software [Dublin], Linux Software (X86_64BI_LINUX-ADVENTERPRISEK9-M), Version 17.12.1, RELEASE SOFTWARE (fc5) | Technical Support: http://www.cisco.com/techsupport | Copyright (c) 1986-2023 by Cisco Systems, Inc. | Compiled Thu 27-Jul-23 22:33 by mcpre |  | ROM: Bootstrap program is Linux "
P2,show ip ospf neighbor, | Neighbor ID     Pri   State           Dead Time   Address         Interface | 172.16.1.2        1   FULL/BDR        00:00:39    10.0.0.34       Ethernet0/3 | 172.16.1.4        1   FULL/DR         00:00:33    10.0.0.21       Ethernet0/2 | 172.16.1.1        1   FULL/BDR        00:00:30    10.0.0.9 
P2,show bgp vpnv4 unicast all summary,% BGP not active | 
P2,show mpls ldp neighbor,"    Peer LDP Ident: 172.16.1.4:0; Local LDP Ident 172.16.1.3:0 | 	TCP connection: 172.16.1.4.45938 - 172.16.1.3.646 | 	State: Oper; Msgs sent/rcvd: 80/80; Downstream | 	Up time: 00:53:46 | 	LDP discovery sources: | 	  Ethernet0/2, Src IP addr: 10.0.0.21 |         Addresses bound to peer LDP Ident: |"
RR1,show version,"Cisco IOS Software [Dublin], Linux Software (X86_64BI_LINUX-ADVENTERPRISEK9-M), Version 17.12.1, RELEASE SOFTWARE (fc5) | Technical Support: http://www.cisco.com/techsupport | Copyright (c) 1986-2023 by Cisco Systems, Inc. | Compiled Thu 27-Jul-23 22:33 by mcpre |  | ROM: Bootstrap program is Linux "
RR1,show ip ospf neighbor, | Neighbor ID     Pri   State           Dead Time   Address         Interface | 172.16.1.6        1   FULL/DR         00:00:35    10.0.0.14       Ethernet0/3 | 172.16.1.4        1   FULL/BDR        00:00:33    10.0.0.18       Ethernet0/2 | 172.16.1.1        1   FULL/BDR        00:00:31    10.0.0.1 
RR1,show bgp vpnv4 unicast all summary,"BGP router identifier 172.16.1.5, local AS number 100 | BGP table version is 25, main routing table version 25 | 4 network entries using 1056 bytes of memory | 8 path entries using 1088 bytes of memory | 1/1 BGP path/bestpath attribute entries using 312 bytes of memory | 2 BGP rrinfo entries using 8"
RR1,show mpls ldp neighbor,"    Peer LDP Ident: 172.16.1.1:0; Local LDP Ident 172.16.1.5:0 | 	TCP connection: 172.16.1.1.646 - 172.16.1.5.45669 | 	State: Oper; Msgs sent/rcvd: 79/80; Downstream | 	Up time: 00:53:51 | 	LDP discovery sources: | 	  Ethernet0/1, Src IP addr: 10.0.0.1 |         Addresses bound to peer LDP Ident: | "
RR2,show version,"Cisco IOS Software [Dublin], Linux Software (X86_64BI_LINUX-ADVENTERPRISEK9-M), Version 17.12.1, RELEASE SOFTWARE (fc5) | Technical Support: http://www.cisco.com/techsupport | Copyright (c) 1986-2023 by Cisco Systems, Inc. | Compiled Thu 27-Jul-23 22:33 by mcpre |  | ROM: Bootstrap program is Linux "
RR2,show ip ospf neighbor, | Neighbor ID     Pri   State           Dead Time   Address         Interface | 172.16.1.2        1   FULL/BDR        00:00:36    10.0.0.38       Ethernet0/3 | 172.16.1.4        1   FULL/BDR        00:00:30    10.0.0.25       Ethernet0/2 | 172.16.1.5        1   FULL/BDR        00:00:36    10.0.0.13
RR2,show bgp vpnv4 unicast all summary,"BGP router identifier 172.16.1.6, local AS number 100 | BGP table version is 27, main routing table version 27 | 4 network entries using 1056 bytes of memory | 8 path entries using 1088 bytes of memory | 1/1 BGP path/bestpath attribute entries using 312 bytes of memory | 2 BGP rrinfo entries using 8"
RR2,show mpls ldp neighbor,"    Peer LDP Ident: 172.16.1.5:0; Local LDP Ident 172.16.1.6:0 | 	TCP connection: 172.16.1.5.646 - 172.16.1.6.49234 | 	State: Oper; Msgs sent/rcvd: 80/81; Downstream | 	Up time: 00:53:48 | 	LDP discovery sources: | 	  Ethernet0/1, Src IP addr: 10.0.0.13 |         Addresses bound to peer LDP Ident: |"
